Vehículo;Nombres personalizados;Fecha de Recepción;Valor;Unidades
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:06;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:07;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:08;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:09;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:10;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:11;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:12;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:13;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:14;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:15;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:16;36.78;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:17;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:18;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:19;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:20;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:21;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:22;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:23;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:24;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:25;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:26;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:27;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:28;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:29;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:30;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:31;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:32;20.29;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:33;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:34;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:35;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:36;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:37;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:38;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:39;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:40;20.29;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:41;35.51;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:42;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:43;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:44;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:45;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:46;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:47;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:48;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:49;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:50;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:51;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:52;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:53;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:54;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:55;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:56;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:57;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:58;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 17:59;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:00;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:01;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:02;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:03;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:04;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:05;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:06;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:07;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:08;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:09;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:10;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:11;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:12;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:13;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:14;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:16;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:17;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:18;15.22;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:19;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:20;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:21;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:22;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:23;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:24;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:25;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:26;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:27;13.95;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:28;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:29;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:30;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:31;24.1;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:32;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:33;36.78;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:34;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:35;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:36;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:37;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:38;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:39;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:40;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:41;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:42;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:43;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 18:44;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:19;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:20;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:21;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:22;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:23;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:24;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:25;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:38;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:39;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:40;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:41;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:42;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:44;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:45;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:46;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:47;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:48;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:49;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:50;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:51;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:52;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:53;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:54;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 19:55;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:09;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:12;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:13;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:30;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:31;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:32;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:33;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:34;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:35;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:36;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:37;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:38;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:39;24.1;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:40;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:41;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:42;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:43;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:45;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:47;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:48;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:49;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:50;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:51;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:52;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:53;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:54;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:55;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:56;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:57;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:58;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 20:59;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:00;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:01;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:02;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:03;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:04;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:05;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:06;17.75;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:07;13.95;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:08;36.78;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:09;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:10;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:11;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:12;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:13;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:14;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:15;20.29;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:16;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:17;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:18;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:19;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:24;35.51;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:25;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:26;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:27;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:28;13.95;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:29;13.95;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:30;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:31;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:32;20.29;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:33;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:34;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:37;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:38;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:39;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:40;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:41;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:42;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:43;15.22;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:44;13.95;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:45;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:46;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:47;13.95;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:48;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:49;20.29;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:50;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:51;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:52;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:53;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:54;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:55;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:56;13.95;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:57;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:58;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 21:59;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:00;20.29;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:01;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:02;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:03;27.9;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:04;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:10;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:11;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:12;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:17;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:18;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:19;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:21;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:22;13.95;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:23;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:27;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:28;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:30;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:34;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:35;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:36;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:40;15.22;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:41;29.17;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:42;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:43;105.68;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:45;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:46;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:47;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:48;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:49;21.56;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:52;22.83;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:53;30.44;Galones (US)
AMC-859 CAN BUS;Nivel de Combustible;7/12/2020 22:54;21.56;Galones (US)
